"index","Type","subcategory"
82330,"EMS","BACK PAINS/INJURY"
82331,"EMS","FALL VICTIM"
82332,"Traffic","HAZARDOUS ROAD CONDITIONS -"
82333,"Traffic","VEHICLE ACCIDENT -"
82334,"Fire","FIRE ALARM"
82335,"EMS","FALL VICTIM"
82336,"EMS","VEHICLE ACCIDENT"
82337,"Traffic","VEHICLE ACCIDENT -"
82338,"Traffic","VEHICLE ACCIDENT -"
82339,"EMS","FALL VICTIM"
82340,"Traffic","VEHICLE ACCIDENT -"
82341,"EMS","UNKNOWN MEDICAL EMERGENCY"
82342,"Traffic","VEHICLE ACCIDENT -"
82343,"EMS","FALL VICTIM"
82344,"EMS","MEDICAL ALERT ALARM"
82345,"Fire","WOODS/FIELD FIRE"
82346,"Traffic","ROAD OBSTRUCTION -"
82347,"Traffic","ROAD OBSTRUCTION -"
82348,"Traffic","VEHICLE ACCIDENT -"
82349,"Traffic","DISABLED VEHICLE -"
82350,"Traffic","VEHICLE ACCIDENT -"
82351,"Fire","CARBON MONOXIDE DETECTOR"
82352,"Fire","VEHICLE ACCIDENT"
82353,"EMS","VEHICLE ACCIDENT"
82354,"Traffic","VEHICLE ACCIDENT -"
82355,"Traffic","DISABLED VEHICLE -"
82356,"Traffic","ROAD OBSTRUCTION -"
82357,"Traffic","ROAD OBSTRUCTION -"
82358,"Traffic","VEHICLE ACCIDENT -"
82359,"Traffic","VEHICLE ACCIDENT -"
82360,"Traffic","VEHICLE ACCIDENT -"
82361,"Fire","FIRE ALARM"
82362,"EMS","RESPIRATORY EMERGENCY"
82363,"Traffic","VEHICLE ACCIDENT -"
82364,"Fire","TRASH/DUMPSTER FIRE"
82365,"Traffic","DISABLED VEHICLE -"
82366,"EMS","FALL VICTIM"
82367,"Traffic","DISABLED VEHICLE -"
82368,"Traffic","DISABLED VEHICLE -"
82369,"Traffic","VEHICLE ACCIDENT -"
82370,"Fire","S/B AT HELICOPTER LANDING"
82371,"EMS","SYNCOPAL EPISODE"
82372,"Traffic","VEHICLE ACCIDENT -"
82373,"EMS","FALL VICTIM"
82374,"EMS","VEHICLE ACCIDENT"
82375,"Traffic","DISABLED VEHICLE -"
82376,"Traffic","VEHICLE ACCIDENT -"
82377,"EMS","MEDICAL ALERT ALARM"
82378,"Fire","VEHICLE ACCIDENT"
82379,"EMS","CARDIAC EMERGENCY"
82380,"EMS","VEHICLE ACCIDENT"
82381,"Traffic","VEHICLE ACCIDENT -"
82382,"EMS","FALL VICTIM"
82383,"Fire","FIRE ALARM"
82384,"Traffic","VEHICLE ACCIDENT -"
82385,"Traffic","VEHICLE ACCIDENT -"
82386,"Traffic","VEHICLE ACCIDENT -"
82387,"Traffic","VEHICLE ACCIDENT -"
82388,"Fire","FIRE ALARM"
82389,"Traffic","VEHICLE ACCIDENT -"
82390,"Fire","FIRE ALARM"
82391,"EMS","HEAT EXHAUSTION"
82392,"Traffic","VEHICLE ACCIDENT -"
82393,"Traffic","VEHICLE ACCIDENT -"
82394,"Fire","FIRE ALARM"
82395,"EMS","ALTERED MENTAL STATUS"
82396,"Traffic","VEHICLE ACCIDENT -"
82397,"EMS","OVERDOSE"
82398,"EMS","FALL VICTIM"
82399,"EMS","VEHICLE ACCIDENT"
82400,"Fire","VEHICLE ACCIDENT"
82401,"Fire","WOODS/FIELD FIRE"
82402,"Fire","FIRE ALARM"
82403,"EMS","MEDICAL ALERT ALARM"
82404,"Traffic","VEHICLE ACCIDENT -"
82405,"Traffic","VEHICLE ACCIDENT -"
82406,"EMS","NAUSEA/VOMITING"
82407,"Fire","BUILDING FIRE"
82408,"Fire","FIRE ALARM"
82409,"Traffic","DISABLED VEHICLE -"
82410,"EMS","SUBJECT IN PAIN"
82411,"EMS","FRACTURE"
82412,"Traffic","VEHICLE ACCIDENT -"
82413,"EMS","CARDIAC EMERGENCY"
82414,"EMS","CARDIAC EMERGENCY"
82415,"EMS","UNCONSCIOUS SUBJECT"
82416,"Traffic","VEHICLE ACCIDENT -"
82417,"Fire","BUILDING FIRE"
82418,"EMS","SUBJECT IN PAIN"
82419,"Fire","BUILDING FIRE"
82420,"Fire","WOODS/FIELD FIRE"
82421,"EMS","CARDIAC EMERGENCY"
82422,"Traffic","DISABLED VEHICLE -"
82423,"EMS","HEAD INJURY"
82424,"Fire","FIRE ALARM"
82425,"Fire","FIRE ALARM"
82426,"Fire","FIRE ALARM"
82427,"EMS","VEHICLE ACCIDENT"
82428,"Traffic","VEHICLE ACCIDENT -"
82429,"Fire","FIRE ALARM"
82430,"Traffic","VEHICLE ACCIDENT -"
82431,"EMS","RESPIRATORY EMERGENCY"
82432,"EMS","VEHICLE ACCIDENT"
82433,"Traffic","VEHICLE ACCIDENT -"
82434,"Fire","VEHICLE ACCIDENT"
82435,"EMS","HEAD INJURY"
82436,"Traffic","VEHICLE ACCIDENT -"
82437,"EMS","UNKNOWN MEDICAL EMERGENCY"
82438,"EMS","RESPIRATORY EMERGENCY"
82439,"EMS","UNKNOWN MEDICAL EMERGENCY"
82440,"EMS","MEDICAL ALERT ALARM"
82441,"Traffic","VEHICLE ACCIDENT -"
82442,"EMS","UNCONSCIOUS SUBJECT"
82443,"EMS","MEDICAL ALERT ALARM"
82444,"Traffic","VEHICLE ACCIDENT -"
82445,"EMS","HEAT EXHAUSTION"
82446,"EMS","LACERATIONS"
82447,"Traffic","VEHICLE ACCIDENT -"
82448,"EMS","RESPIRATORY EMERGENCY"
82449,"EMS","RESPIRATORY EMERGENCY"
82450,"EMS","DIABETIC EMERGENCY"
82451,"Traffic","DISABLED VEHICLE -"
82452,"EMS","BACK PAINS/INJURY"
82453,"Traffic","VEHICLE ACCIDENT -"
82454,"Traffic","VEHICLE ACCIDENT -"
82455,"Fire","FIRE INVESTIGATION"
82456,"EMS","HEAD INJURY"
82457,"EMS","UNKNOWN MEDICAL EMERGENCY"
82458,"Traffic","VEHICLE ACCIDENT -"
82459,"EMS","ALLERGIC REACTION"
82460,"Fire","VEHICLE LEAKING FUEL"
82461,"EMS","HEAD INJURY"
82462,"Traffic","VEHICLE LEAKING FUEL -"
82463,"Traffic","DISABLED VEHICLE -"
82464,"EMS","CVA/STROKE"
82465,"EMS","STABBING"
82466,"Traffic","VEHICLE ACCIDENT -"
82467,"Traffic","ROAD OBSTRUCTION -"
82468,"Traffic","VEHICLE ACCIDENT -"
82469,"EMS","RESPIRATORY EMERGENCY"
82470,"EMS","ASSAULT VICTIM"
82471,"EMS","MEDICAL ALERT ALARM"
82472,"Fire","GAS-ODOR/LEAK"
82473,"Traffic","DISABLED VEHICLE -"
82474,"EMS","FALL VICTIM"
82475,"Traffic","VEHICLE ACCIDENT -"
82476,"Traffic","VEHICLE ACCIDENT -"
82477,"Fire","FIRE ALARM"
82478,"Fire","FIRE SPECIAL SERVICE"
82479,"Fire","CARBON MONOXIDE DETECTOR"
82480,"EMS","SUBJECT IN PAIN"
82481,"Fire","FIRE ALARM"
82482,"EMS","CARDIAC EMERGENCY"
82483,"Traffic","VEHICLE ACCIDENT -"
82484,"EMS","UNKNOWN MEDICAL EMERGENCY"
82485,"EMS","FIRE SPECIAL SERVICE"
82486,"EMS","MEDICAL ALERT ALARM"
82487,"Traffic","VEHICLE ACCIDENT -"
82488,"Traffic","DISABLED VEHICLE -"
82489,"Traffic","DISABLED VEHICLE -"
82490,"EMS","ALLERGIC REACTION"
82491,"EMS","ALLERGIC REACTION"
82492,"EMS","FALL VICTIM"
82493,"EMS","DIABETIC EMERGENCY"
82494,"Traffic","DISABLED VEHICLE -"
82495,"EMS","RESPIRATORY EMERGENCY"
82496,"EMS","SUBJECT IN PAIN"
82497,"EMS","SUBJECT IN PAIN"
82498,"EMS","NAUSEA/VOMITING"
82499,"Fire","FIRE ALARM"
82500,"EMS","CARDIAC EMERGENCY"
82501,"EMS","HEMORRHAGING"
82502,"EMS","RESPIRATORY EMERGENCY"
82503,"EMS","CARDIAC EMERGENCY"
82504,"EMS","FALL VICTIM"
82505,"EMS","HEAD INJURY"
82506,"Fire","FIRE ALARM"
82507,"EMS","MEDICAL ALERT ALARM"
82508,"EMS","UNKNOWN MEDICAL EMERGENCY"
82509,"EMS","SUBJECT IN PAIN"
82510,"EMS","ASSAULT VICTIM"
82511,"EMS","ALLERGIC REACTION"
82512,"EMS","FALL VICTIM"
82513,"EMS","CVA/STROKE"
82514,"Fire","FIRE ALARM"
82515,"Traffic","ROAD OBSTRUCTION -"
82516,"Traffic","VEHICLE ACCIDENT -"
82517,"Fire","FIRE ALARM"
82518,"Fire","FIRE ALARM"
82519,"EMS","UNCONSCIOUS SUBJECT"
82520,"Traffic","VEHICLE ACCIDENT -"
82521,"EMS","CARDIAC ARREST"
82522,"Traffic","ROAD OBSTRUCTION -"
82523,"Fire","FIRE ALARM"
82524,"Fire","CARBON MONOXIDE DETECTOR"
82525,"Traffic","VEHICLE ACCIDENT -"
82526,"Fire","GAS-ODOR/LEAK"
82527,"Traffic","VEHICLE ACCIDENT -"
82528,"EMS","FEVER"
82529,"Fire","BUILDING FIRE"
82530,"Fire","FIRE ALARM"
82531,"EMS","FRACTURE"
82532,"Fire","FIRE INVESTIGATION"
82533,"EMS","FALL VICTIM"
82534,"Traffic","VEHICLE ACCIDENT -"
82535,"EMS","CARDIAC ARREST"
82536,"EMS","GENERAL WEAKNESS"
82537,"Fire","FIRE ALARM"
82538,"Traffic","VEHICLE ACCIDENT -"
82539,"Traffic","VEHICLE ACCIDENT -"
82540,"EMS","FRACTURE"
82541,"Fire","GAS-ODOR/LEAK"
82542,"EMS","VEHICLE ACCIDENT"
82543,"Fire","VEHICLE FIRE"
82544,"Traffic","VEHICLE FIRE -"
82545,"Traffic","VEHICLE ACCIDENT -"
82546,"EMS","SUBJECT IN PAIN"
82547,"Fire","FIRE ALARM"
82548,"Fire","FIRE ALARM"
82549,"EMS","UNCONSCIOUS SUBJECT"
82550,"EMS","CARDIAC EMERGENCY"
82551,"Traffic","VEHICLE ACCIDENT -"
82552,"EMS","FALL VICTIM"
82553,"EMS","HEMORRHAGING"
82554,"Fire","FIRE ALARM"
82555,"Fire","FIRE ALARM"
82556,"Fire","RESCUE - ELEVATOR"
82557,"EMS","FRACTURE"
82558,"Traffic","VEHICLE ACCIDENT -"
82559,"EMS","FRACTURE"
82560,"EMS","CARDIAC EMERGENCY"
82561,"Traffic","ROAD OBSTRUCTION -"
82562,"Fire","FIRE ALARM"
82563,"EMS","CARDIAC EMERGENCY"
82564,"Traffic","ROAD OBSTRUCTION -"
82565,"EMS","CVA/STROKE"
82566,"Traffic","VEHICLE ACCIDENT -"
82567,"Traffic","VEHICLE ACCIDENT -"
82568,"EMS","ABDOMINAL PAINS"
82569,"EMS","DEHYDRATION"
82570,"EMS","RESPIRATORY EMERGENCY"
82571,"EMS","DEHYDRATION"
82572,"EMS","HEAT EXHAUSTION"
82573,"Traffic","VEHICLE ACCIDENT -"
82574,"EMS","NAUSEA/VOMITING"
82575,"Fire","FIRE ALARM"
82576,"EMS","CARDIAC EMERGENCY"
82577,"EMS","DIABETIC EMERGENCY"
82578,"EMS","HEAD INJURY"
82579,"Traffic","VEHICLE ACCIDENT -"
82580,"Traffic","VEHICLE ACCIDENT -"
82581,"EMS","HEMORRHAGING"
82582,"Traffic","DISABLED VEHICLE -"
82583,"EMS","SEIZURES"
82584,"Traffic","ROAD OBSTRUCTION -"
82585,"Traffic","VEHICLE ACCIDENT -"
82586,"EMS","MEDICAL ALERT ALARM"
82587,"Traffic","VEHICLE ACCIDENT -"
82588,"Traffic","VEHICLE ACCIDENT -"
82589,"Traffic","VEHICLE ACCIDENT -"
82590,"Fire","FIRE ALARM"
82591,"EMS","GENERAL WEAKNESS"
82592,"Fire","FIRE ALARM"
82593,"Fire","FIRE ALARM"
82594,"EMS","GENERAL WEAKNESS"
82595,"EMS","OVERDOSE"
82596,"EMS","MEDICAL ALERT ALARM"
82597,"EMS","RESPIRATORY EMERGENCY"
82598,"Fire","S/B AT HELICOPTER LANDING"
82599,"EMS","SEIZURES"
82600,"EMS","SYNCOPAL EPISODE"
82601,"EMS","FEVER"
82602,"Traffic","DISABLED VEHICLE -"
82603,"Traffic","DISABLED VEHICLE -"
82604,"Traffic","VEHICLE ACCIDENT -"
82605,"Traffic","DISABLED VEHICLE -"
82606,"EMS","SUBJECT IN PAIN"
82607,"EMS","SYNCOPAL EPISODE"
82608,"Fire","FIRE ALARM"
82609,"Traffic","DISABLED VEHICLE -"
82610,"Traffic","VEHICLE ACCIDENT -"
82611,"EMS","CARDIAC EMERGENCY"
82612,"EMS","FRACTURE"
82613,"EMS","FALL VICTIM"
82614,"Traffic","VEHICLE ACCIDENT -"
82615,"EMS","SUBJECT IN PAIN"
82616,"EMS","SYNCOPAL EPISODE"
82617,"Traffic","VEHICLE ACCIDENT -"
82618,"Traffic","ROAD OBSTRUCTION -"
82619,"Fire","GAS-ODOR/LEAK"
82620,"EMS","CARDIAC EMERGENCY"
82621,"EMS","SUBJECT IN PAIN"
82622,"Fire","BUILDING FIRE"
82623,"Fire","FIRE ALARM"
82624,"EMS","HEMORRHAGING"
82625,"EMS","VEHICLE ACCIDENT"
82626,"Fire","FIRE ALARM"
82627,"Fire","VEHICLE ACCIDENT"
82628,"Traffic","VEHICLE ACCIDENT -"
82629,"Traffic","VEHICLE ACCIDENT -"
82630,"Traffic","VEHICLE ACCIDENT -"
82631,"EMS","CARDIAC EMERGENCY"
82632,"EMS","CARDIAC EMERGENCY"
82633,"EMS","DIZZINESS"
82634,"Traffic","DISABLED VEHICLE -"
82635,"Traffic","VEHICLE ACCIDENT -"
82636,"Traffic","DISABLED VEHICLE -"
82637,"Fire","FIRE ALARM"
82638,"EMS","HEAD INJURY"
82639,"Fire","FIRE ALARM"
82640,"EMS","GENERAL WEAKNESS"
82641,"EMS","MEDICAL ALERT ALARM"
82642,"Fire","FIRE ALARM"
82643,"Traffic","VEHICLE ACCIDENT -"
82644,"Traffic","ROAD OBSTRUCTION -"
82645,"EMS","HEAT EXHAUSTION"
82646,"EMS","SYNCOPAL EPISODE"
82647,"EMS","CARDIAC EMERGENCY"
82648,"Traffic","VEHICLE ACCIDENT -"
82649,"Traffic","VEHICLE ACCIDENT -"
82650,"Traffic","DISABLED VEHICLE -"
82651,"EMS","SEIZURES"
82652,"Traffic","VEHICLE ACCIDENT -"
82653,"EMS","BUILDING FIRE"
82654,"Fire","BUILDING FIRE"
82655,"Fire","FIRE ALARM"
82656,"Traffic","DISABLED VEHICLE -"
82657,"Fire","FIRE INVESTIGATION"
82658,"EMS","FALL VICTIM"
82659,"EMS","DIZZINESS"
82660,"EMS","RESPIRATORY EMERGENCY"
82661,"Traffic","DISABLED VEHICLE -"
82662,"EMS","GENERAL WEAKNESS"
82663,"Fire","FIRE ALARM"
82664,"Traffic","HAZARDOUS ROAD CONDITIONS -"
82665,"Traffic","VEHICLE ACCIDENT -"
82666,"EMS","ASSAULT VICTIM"
82667,"Traffic","DISABLED VEHICLE -"
82668,"EMS","CHOKING"
82669,"Fire","WOODS/FIELD FIRE"
82670,"Traffic","DISABLED VEHICLE -"
82671,"EMS","HEAD INJURY"
82672,"Traffic","VEHICLE ACCIDENT -"
82673,"Traffic","VEHICLE ACCIDENT -"
82674,"Fire","FIRE ALARM"
82675,"Traffic","VEHICLE ACCIDENT -"
82676,"Traffic","VEHICLE ACCIDENT -"
82677,"EMS","MEDICAL ALERT ALARM"
82678,"Traffic","VEHICLE ACCIDENT -"
82679,"EMS","ALLERGIC REACTION"
82680,"Traffic","ROAD OBSTRUCTION -"
82681,"Fire","FIRE ALARM"
82682,"EMS","HEAT EXHAUSTION"
82683,"Fire","FIRE ALARM"
82684,"Traffic","VEHICLE ACCIDENT -"
82685,"EMS","HEAT EXHAUSTION"
82686,"Fire","FIRE ALARM"
82687,"Traffic","VEHICLE ACCIDENT -"
82688,"EMS","DEHYDRATION"
82689,"Fire","FIRE ALARM"
82690,"Fire","FIRE ALARM"
82691,"EMS","MEDICAL ALERT ALARM"
82692,"EMS","UNKNOWN MEDICAL EMERGENCY"
82693,"EMS","UNKNOWN MEDICAL EMERGENCY"
82694,"EMS","NAUSEA/VOMITING"
82695,"EMS","RESPIRATORY EMERGENCY"
82696,"EMS","OVERDOSE"
82697,"EMS","RESPIRATORY EMERGENCY"
82698,"EMS","FALL VICTIM"
82699,"EMS","ALTERED MENTAL STATUS"
82700,"EMS","CVA/STROKE"
82701,"Fire","RESCUE - ELEVATOR"
82702,"Traffic","VEHICLE ACCIDENT -"
82703,"Fire","FIRE ALARM"
82704,"Traffic","ROAD OBSTRUCTION -"
82705,"Traffic","VEHICLE ACCIDENT -"
82706,"Traffic","VEHICLE ACCIDENT -"
82707,"Traffic","VEHICLE ACCIDENT -"
82708,"Fire","FIRE ALARM"
82709,"EMS","SUBJECT IN PAIN"
82710,"EMS","FALL VICTIM"
82711,"EMS","GENERAL WEAKNESS"
82712,"EMS","LACERATIONS"
82713,"Traffic","VEHICLE ACCIDENT -"
82714,"EMS","CVA/STROKE"
82715,"EMS","FALL VICTIM"
82716,"Fire","FIRE ALARM"
82717,"Traffic","VEHICLE ACCIDENT -"
82718,"Traffic","VEHICLE ACCIDENT -"
82719,"Fire","FIRE SPECIAL SERVICE"
82720,"EMS","FALL VICTIM"
82721,"EMS","VEHICLE ACCIDENT"
82722,"Traffic","VEHICLE ACCIDENT -"
82723,"EMS","VEHICLE ACCIDENT"
82724,"EMS","CARDIAC EMERGENCY"
82725,"EMS","FALL VICTIM"
82726,"EMS","SYNCOPAL EPISODE"
82727,"EMS","RESPIRATORY EMERGENCY"
82728,"EMS","UNCONSCIOUS SUBJECT"
82729,"Traffic","DISABLED VEHICLE -"
82730,"Traffic","VEHICLE ACCIDENT -"
82731,"EMS","ABDOMINAL PAINS"
82732,"EMS","CARDIAC EMERGENCY"
82733,"Fire","CARBON MONOXIDE DETECTOR"
82734,"Fire","FIRE ALARM"
82735,"EMS","HEAT EXHAUSTION"
82736,"Traffic","VEHICLE ACCIDENT -"
82737,"EMS","SYNCOPAL EPISODE"
82738,"EMS","UNKNOWN MEDICAL EMERGENCY"
82739,"Traffic","VEHICLE ACCIDENT -"
82740,"Fire","FIRE ALARM"
82741,"Traffic","ROAD OBSTRUCTION -"
82742,"EMS","DIZZINESS"
82743,"Traffic","VEHICLE ACCIDENT -"
82744,"EMS","EMS SPECIAL SERVICE"
82745,"Traffic","VEHICLE ACCIDENT -"
82746,"Traffic","VEHICLE ACCIDENT -"
82747,"Traffic","VEHICLE ACCIDENT -"
82748,"EMS","DIZZINESS"
82749,"EMS","FALL VICTIM"
82750,"Traffic","VEHICLE ACCIDENT -"
82751,"Traffic","VEHICLE ACCIDENT -"
82752,"EMS","UNKNOWN MEDICAL EMERGENCY"
82753,"Traffic","VEHICLE ACCIDENT -"
82754,"EMS","SUBJECT IN PAIN"
82755,"Traffic","VEHICLE ACCIDENT -"
82756,"Traffic","VEHICLE ACCIDENT -"
82757,"EMS","SYNCOPAL EPISODE"
82758,"Fire","VEHICLE ACCIDENT"
82759,"EMS","DEHYDRATION"
82760,"EMS","NAUSEA/VOMITING"
82761,"EMS","OVERDOSE"
82762,"EMS","VEHICLE ACCIDENT"
82763,"Traffic","VEHICLE FIRE -"
82764,"Traffic","DISABLED VEHICLE -"
82765,"Traffic","VEHICLE ACCIDENT -"
82766,"Traffic","DISABLED VEHICLE -"
82767,"Fire","FIRE POLICE NEEDED"
82768,"Fire","FIRE ALARM"
82769,"Traffic","VEHICLE ACCIDENT -"
82770,"EMS","CARDIAC EMERGENCY"
82771,"Traffic","VEHICLE ACCIDENT -"
82772,"EMS","VEHICLE ACCIDENT"
82773,"EMS","ALTERED MENTAL STATUS"
82774,"Fire","FIRE ALARM"
82775,"EMS","ABDOMINAL PAINS"
82776,"EMS","ALTERED MENTAL STATUS"
82777,"EMS","FEVER"
82778,"Fire","ELECTRICAL FIRE OUTSIDE"
82779,"Fire","ELECTRICAL FIRE OUTSIDE"
82780,"Fire","FIRE ALARM"
82781,"Traffic","DISABLED VEHICLE -"
82782,"Fire","ELECTRICAL FIRE OUTSIDE"
82783,"Traffic","VEHICLE ACCIDENT -"
82784,"Fire","FIRE ALARM"
82785,"EMS","DIZZINESS"
82786,"Fire","FIRE ALARM"
82787,"EMS","CVA/STROKE"
82788,"Traffic","VEHICLE ACCIDENT -"
82789,"EMS","CARDIAC ARREST"
82790,"EMS","FALL VICTIM"
82791,"Traffic","DISABLED VEHICLE -"
82792,"Fire","FIRE ALARM"
82793,"EMS","ASSAULT VICTIM"
82794,"EMS","SYNCOPAL EPISODE"
82795,"EMS","NAUSEA/VOMITING"
82796,"Fire","FIRE ALARM"
82797,"EMS","RESPIRATORY EMERGENCY"
82798,"Fire","UNKNOWN TYPE FIRE"
82799,"EMS","FRACTURE"
82800,"Traffic","VEHICLE ACCIDENT -"
82801,"Traffic","VEHICLE ACCIDENT -"
82802,"EMS","GENERAL WEAKNESS"
82803,"EMS","CARDIAC EMERGENCY"
82804,"Traffic","DISABLED VEHICLE -"
82805,"Traffic","VEHICLE ACCIDENT -"
82806,"Traffic","VEHICLE ACCIDENT -"
82807,"EMS","ASSAULT VICTIM"
82808,"EMS","ALLERGIC REACTION"
82809,"EMS","HEAD INJURY"
82810,"Traffic","VEHICLE ACCIDENT -"
82811,"EMS","ABDOMINAL PAINS"
82812,"EMS","SYNCOPAL EPISODE"
82813,"EMS","ASSAULT VICTIM"
82814,"EMS","RESPIRATORY EMERGENCY"
82815,"EMS","SEIZURES"
82816,"EMS","SEIZURES"
82817,"EMS","SUBJECT IN PAIN"
82818,"EMS","UNKNOWN TYPE FIRE"
82819,"Fire","UNKNOWN TYPE FIRE"
82820,"EMS","ALTERED MENTAL STATUS"
82821,"EMS","CARDIAC EMERGENCY"
82822,"EMS","RESPIRATORY EMERGENCY"
82823,"EMS","UNRESPONSIVE SUBJECT"
82824,"Traffic","VEHICLE ACCIDENT -"
82825,"Traffic","DISABLED VEHICLE -"
82826,"EMS","OVERDOSE"
82827,"Traffic","VEHICLE ACCIDENT -"
82828,"EMS","CVA/STROKE"
82829,"Traffic","VEHICLE ACCIDENT -"
82830,"Traffic","VEHICLE ACCIDENT -"
82831,"EMS","RESPIRATORY EMERGENCY"
82832,"Traffic","VEHICLE ACCIDENT -"
82833,"EMS","EMS SPECIAL SERVICE"
82834,"EMS","SUBJECT IN PAIN"
82835,"Fire","FIRE ALARM"
82836,"EMS","HEMORRHAGING"
82837,"Traffic","DISABLED VEHICLE -"
82838,"EMS","ASSAULT VICTIM"
82839,"EMS","CARDIAC EMERGENCY"
82840,"EMS","DIZZINESS"
82841,"EMS","LACERATIONS"
82842,"Traffic","VEHICLE ACCIDENT -"
82843,"EMS","CARDIAC EMERGENCY"
82844,"EMS","ALLERGIC REACTION"
82845,"Fire","BUILDING FIRE"
82846,"EMS","SYNCOPAL EPISODE"
82847,"EMS","VEHICLE ACCIDENT"
82848,"Fire","VEHICLE ACCIDENT"
82849,"Traffic","VEHICLE ACCIDENT -"
82850,"EMS","RESPIRATORY EMERGENCY"
82851,"EMS","FEVER"
82852,"Fire","FIRE ALARM"
82853,"EMS","SEIZURES"
82854,"Fire","ELECTRICAL FIRE OUTSIDE"
82855,"EMS","SYNCOPAL EPISODE"
82856,"Fire","FIRE INVESTIGATION"
82857,"EMS","FALL VICTIM"
82858,"Fire","GAS-ODOR/LEAK"
82859,"EMS","RESPIRATORY EMERGENCY"
82860,"Traffic","DISABLED VEHICLE -"
82861,"Traffic","DISABLED VEHICLE -"
82862,"EMS","FRACTURE"
82863,"Traffic","VEHICLE ACCIDENT -"
82864,"Traffic","DISABLED VEHICLE -"
82865,"EMS","SUBJECT IN PAIN"
82866,"EMS","SUBJECT IN PAIN"
82867,"EMS","UNKNOWN MEDICAL EMERGENCY"
82868,"EMS","CARDIAC EMERGENCY"
82869,"EMS","RESPIRATORY EMERGENCY"
82870,"EMS","UNKNOWN MEDICAL EMERGENCY"
82871,"Fire","VEHICLE ACCIDENT"
82872,"EMS","VEHICLE ACCIDENT"
82873,"EMS","HEAD INJURY"
82874,"EMS","CARDIAC EMERGENCY"
82875,"EMS","HEAT EXHAUSTION"
82876,"EMS","CVA/STROKE"
82877,"Traffic","DISABLED VEHICLE -"
82878,"Fire","ELECTRICAL FIRE OUTSIDE"
82879,"EMS","SUBJECT IN PAIN"
82880,"EMS","SYNCOPAL EPISODE"
82881,"Fire","ELECTRICAL FIRE OUTSIDE"
82882,"Fire","FIRE INVESTIGATION"
82883,"Fire","ELECTRICAL FIRE OUTSIDE"
82884,"Traffic","VEHICLE ACCIDENT -"
82885,"Traffic","VEHICLE ACCIDENT -"
82886,"EMS","RESPIRATORY EMERGENCY"
82887,"EMS","CARDIAC ARREST"
82888,"EMS","UNKNOWN MEDICAL EMERGENCY"
82889,"EMS","VEHICLE ACCIDENT"
82890,"Fire","CARDIAC ARREST"
82891,"EMS","MATERNITY"
82892,"EMS","UNKNOWN MEDICAL EMERGENCY"
82893,"Traffic","VEHICLE ACCIDENT -"
82894,"Fire","ELECTRICAL FIRE OUTSIDE"
82895,"EMS","LACERATIONS"
82896,"EMS","OVERDOSE"
82897,"EMS","CARDIAC EMERGENCY"
82898,"EMS","LACERATIONS"
82899,"EMS","ASSAULT VICTIM"
82900,"EMS","ASSAULT VICTIM"
82901,"EMS","FALL VICTIM"
82902,"Traffic","ROAD OBSTRUCTION -"
82903,"EMS","MEDICAL ALERT ALARM"
82904,"EMS","OVERDOSE"
82905,"EMS","MEDICAL ALERT ALARM"
82906,"EMS","SUBJECT IN PAIN"
82907,"EMS","DIABETIC EMERGENCY"
82908,"Fire","FIRE ALARM"
82909,"Traffic","VEHICLE ACCIDENT -"
82910,"EMS","ABDOMINAL PAINS"
82911,"EMS","RESPIRATORY EMERGENCY"
82912,"EMS","DIABETIC EMERGENCY"
82913,"Traffic","VEHICLE ACCIDENT -"
82914,"EMS","SEIZURES"
82915,"EMS","VEHICLE ACCIDENT"
82916,"Fire","VEHICLE ACCIDENT"
82917,"Traffic","VEHICLE ACCIDENT -"
82918,"EMS","SUBJECT IN PAIN"
82919,"EMS","SUBJECT IN PAIN"
82920,"EMS","CVA/STROKE"
82921,"EMS","FALL VICTIM"
82922,"EMS","HEMORRHAGING"
82923,"EMS","RESPIRATORY EMERGENCY"
82924,"EMS","CARDIAC EMERGENCY"
82925,"EMS","CARDIAC EMERGENCY"
82926,"Traffic","ROAD OBSTRUCTION -"
82927,"EMS","CVA/STROKE"
82928,"Fire","CARBON MONOXIDE DETECTOR"
82929,"Traffic","DISABLED VEHICLE -"
82930,"EMS","FALL VICTIM"
82931,"Traffic","DISABLED VEHICLE -"
82932,"EMS","RESPIRATORY EMERGENCY"
82933,"EMS","ALTERED MENTAL STATUS"
82934,"EMS","FALL VICTIM"
82935,"Traffic","DISABLED VEHICLE -"
82936,"Traffic","DISABLED VEHICLE -"
82937,"EMS","FALL VICTIM"
82938,"EMS","SYNCOPAL EPISODE"
82939,"Fire","FIRE ALARM"
82940,"Fire","FIRE ALARM"
82941,"EMS","HEMORRHAGING"
82942,"EMS","CARDIAC EMERGENCY"
82943,"EMS","HEAD INJURY"
82944,"EMS","RESPIRATORY EMERGENCY"
82945,"EMS","HEAD INJURY"
82946,"Traffic","HAZARDOUS ROAD CONDITIONS -"
82947,"EMS","CARDIAC EMERGENCY"
82948,"Traffic","VEHICLE ACCIDENT -"
82949,"EMS","HEAD INJURY"
82950,"Traffic","VEHICLE ACCIDENT -"
82951,"Traffic","DEBRIS/FLUIDS ON HIGHWAY -"
82952,"EMS","UNKNOWN MEDICAL EMERGENCY"
82953,"EMS","CARDIAC EMERGENCY"
82954,"Traffic","DISABLED VEHICLE -"
